"Rk","Name","Votes","%vote","year","inducted"
1,"Carlos Beltrán",358,84.2,2026,"Y"
2,"Andruw Jones",333,78.4,2026,"Y"
3,"Chase Utley",251,59.1,2026,"N"
4,"Andy Pettitte",206,48.5,2026,"N"
5,"Félix Hernández",196,46.1,2026,"N"
6,"Alex Rodriguez",170,40,2026,"N"
7,"Manny Ramirez",165,38.8,2026,"N"
8,"Bobby Abreu",131,30.8,2026,"N"
9,"Jimmy Rollins",108,25.4,2026,"N"
10,"Cole Hamels",101,23.8,2026,"N"
11,"Dustin Pedroia",88,20.7,2026,"N"
12,"Mark Buehrle",85,20,2026,"N"
13,"Omar Vizquel",78,18.4,2026,"N"
14,"David Wright",63,14.8,2026,"N"
15,"Francisco Rodríguez",50,11.8,2026,"N"
16,"Torii Hunter",37,8.7,2026,"N"
17,"Ryan Braun",15,3.5,2026,"N"
18,"Edwin Encarnación",6,1.4,2026,"N"
19,"Shin-Soo Choo",3,0.7,2026,"N"
20,"Hunter Pence",2,0.5,2026,"N"
21,"Matt Kemp",2,0.5,2026,"N"
22,"Rick Porcello",2,0.5,2026,"N"
23,"Nick Markakis",1,0.2,2026,"N"
24,"Alex Gordon",1,0.2,2026,"N"
25,"Daniel Murphy",0,0,2026,"N"
26,"Howie Kendrick",0,0,2026,"N"
27,"Gio Gonzalez",0,0,2026,"N"
